1.00,1759
2.00,1768
3.00,1620
4.00,1798
5.00,1741
6.00,1836
7.01,1834
8.01,1817
9.01,1824
10.01,1822
11.01,1822
12.01,1819
13.01,1821
14.01,1841
15.01,1823
16.01,1811
17.01,1822
18.01,1822
19.01,1817
20.01,1829
21.01,1814
22.01,1826
23.01,1830
24.01,1825
25.01,1852
26.01,1837
27.01,1809
28.02,1826
29.02,1852
30.02,1826
31.02,1814
32.02,1849
33.02,1798
34.02,1823
35.02,1794
36.02,1782
37.02,1808
38.02,1791
39.02,1774
40.02,1821
41.02,1732
42.02,1776
43.03,1827
44.03,1744
45.03,1842
46.03,1785
47.03,1825
48.03,1826
49.03,1771
50.03,1840
51.03,1816
52.03,1844
53.03,1837
54.03,1812
55.03,1842
56.03,1817
57.03,1831
58.04,1831
59.04,1822
60.04,1826
61.04,1821
62.04,1828
63.04,1826
64.04,1787
65.04,1831
66.04,1824
67.04,1781
68.04,1852
69.04,1772
70.04,1820
71.04,1841
72.04,1786
73.04,1851
74.04,1782
75.04,1825
76.04,1776
77.04,1770
78.05,1844
79.05,1768
80.05,1819
81.05,1837
82.05,1784
83.05,1858
84.05,1796
85.05,1743
86.05,1839
87.05,1807
88.05,1864
89.05,1877
90.05,1822
91.05,1822
92.05,1751
93.05,1756
94.05,1824
95.05,1778
96.05,1835
97.05,1803
98.06,1847
99.06,1815
100.06,1791
101.06,1827
102.06,1808
103.06,1851
104.06,1814
105.06,1773
106.06,1829
107.06,1812
108.07,1730
109.07,1827
110.07,1803
111.07,1822
112.07,1818
113.07,1821
114.07,1806
115.07,1820
116.07,1826
117.08,1834
118.08,1809
119.08,1827
