"Backend","MeanMBps","FirstMBps","LastMBps","DecayPct","MinMBps","MaxMBps","CpuMean","ClockMean","ClockEnd","TempStart","TempMax","FanMax"
"cng","1618","1796","1560","13.1","1447","1838","18.8","168","161","58","88","6030"
"isal","1809","1811","1824","-0.7","1408","1867","20.7","167","159","59","85","6030"
