"t","mbps"
"0","724.2"
"2.83","792.4"
"5.41","826.4"
"7.89","731.4"
"10.69","718.3"
"13.54","844.3"
"15.97","832.8"
"18.43","827.7"
"20.9","824.6"
"23.39","836.4"
"25.83","817.1"
"28.34","841.3"
"30.77","823.8"
"33.26","833.8"
"35.72","828"
"38.19","873.5"
"40.53","868.8"
"42.89","842.7"
"45.32","824.1"
"47.81","837.4"
"50.25","848.5"
"52.67","883"
"54.99","830"
"57.45","796.7"
"60.02","857.6"
"62.41","835.1"
"64.86","835.3"
"67.32","861.3"
"69.69","856.7"
"72.08","859.3"
"74.47","822.7"
"76.96","832.7"
"79.42","860.7"
"81.8","837.1"
"84.24","848"
"86.66","844.9"
"89.08","827.7"
"91.56","856.1"
"93.95","852"
"96.35","846.3"
"98.77","871.4"
"101.12","766.7"
"103.79","822.3"
"106.28","847.2"
"108.7","859.5"
"111.08","791.6"
"113.67","843.3"
"116.1","891.7"
"118.4","826.6"
"120.87","820.9"
"123.37","839.8"
"125.81","870.1"
"128.16","855.4"
"130.56","840.8"
"132.99","876.4"
"135.33","821.9"
"137.82","827"
"140.3","817.2"
"142.8","844"
"145.23","826.9"
"147.71","822.9"
"150.2","848.5"
"152.61","856.4"
"155","850.1"
"157.41","897.7"
"159.69","874.6"
"162.03","876.6"
"164.37","867"
"166.73","803"
"169.28","840.1"
"171.72","843"
"174.15","847.1"
"176.57","862.2"
"178.94","833.3"
