"Backend","MeanMBps","FirstMBps","LastMBps","DecayPct","MinMBps","MaxMBps","CpuMean","ClockMean","ClockEnd","TempStart","TempMax","FanMax"
"openssl3","1811","1811","1810","0.1","1620","1877","18.5","166","159","60","86","6012"
"libressl","1239","1419","1176","17.1","790","1451","21.6","164","156","60","88","6012"
