"which","MBps","rsyncCPU","sshCPU","cpuPerGB"
"isal","1301","1.86","5.47","1.706"
"cng","1310","2.03","5.61","1.779"
"isal","1363","1.89","5.06","1.619"
"cng","1330","1.92","5.12","1.641"
"isal","1379","1.86","4.86","1.564"
"cng","1282","1.91","5.41","1.703"
