"which","MBps","rsyncCPU","sshCPU","cpuPerGB"
"64KB","1274","2.2","5.2","1.724"
"256KB","1352","1.95","5","1.619"
"64KB","1354","1.97","4.94","1.608"
"256KB","1288","2.17","5.52","1.79"
"64KB","1253","2.42","6.12","1.99"
"256KB","1267","2.53","6.05","1.997"
