"Backend","MeanMBps","FirstMBps","LastMBps","DecayPct","MinMBps","MaxMBps","CpuMean","ClockMean","ClockEnd","TempStart","TempMax","FanMax"
"isal","1817","1818","1824","-0.4","1558","1930","15.9","185","173","53","95","6030"
"cng","1622","1793","1568","12.5","1406","1839","20","168","154","60","89","6030"
