1.00,1850
2.00,1826
3.00,1820
4.00,1833
5.00,1813
6.00,1824
7.01,1810
8.01,1816
9.01,1824
10.01,1818
11.01,1818
12.01,1668
13.01,1843
14.01,1824
15.01,1830
16.01,1806
17.01,1820
18.01,1809
19.01,1832
20.01,1831
21.01,1814
22.01,1815
23.02,1806
24.02,1814
25.02,1819
26.02,1817
27.02,1852
28.02,1811
29.02,1834
30.02,1838
31.02,1821
32.02,1861
33.02,1824
34.02,1828
35.02,1833
36.02,1791
37.02,1825
38.03,1811
39.03,1809
40.03,1841
41.03,1816
42.03,1822
43.03,1834
44.03,1841
45.03,1813
46.03,1811
47.03,1823
48.03,1816
49.03,1812
50.03,1825
51.03,1822
52.03,1809
53.03,1823
54.03,1826
55.03,1807
56.03,1816
57.03,1821
58.03,1824
59.04,1820
60.04,1847
61.04,1844
62.04,1836
63.04,1683
64.04,1576
65.04,1623
66.04,1558
67.04,1741
68.04,1852
69.04,1851
70.04,1841
71.04,1845
72.04,1818
73.04,1856
74.04,1837
75.04,1930
76.05,1908
77.05,1890
78.05,1683
79.05,1801
80.05,1848
81.05,1858
82.05,1836
83.05,1831
84.05,1825
85.05,1824
86.05,1824
87.05,1817
88.05,1813
89.05,1830
90.05,1811
91.05,1827
92.05,1802
93.05,1828
94.06,1826
95.06,1825
96.06,1831
97.06,1819
98.06,1812
99.06,1821
100.06,1809
101.06,1837
102.06,1819
103.06,1825
104.06,1831
105.06,1804
106.06,1822
107.06,1824
108.06,1828
109.06,1826
110.06,1844
111.07,1863
112.07,1816
113.07,1829
114.07,1840
115.07,1812
116.07,1828
117.07,1823
118.07,1814
119.07,1836
