1.00,1830
2.00,1814
3.00,1815
4.00,1817
5.00,1785
6.00,1828
7.01,1840
8.01,1833
9.01,1726
10.01,1762
11.01,1854
12.01,1839
13.01,1769
14.01,1848
15.01,1855
16.01,1830
17.01,1836
18.01,1815
19.01,1838
20.01,1786
21.01,1807
22.01,1769
23.01,1828
24.01,1816
25.01,1821
26.01,1847
27.01,1833
28.01,1805
29.01,1811
30.02,1665
31.02,1740
32.02,1797
33.02,1702
34.02,1826
35.02,1845
36.02,1851
37.02,1832
38.02,1732
39.02,1757
40.02,1849
41.02,1826
42.02,1867
43.02,1795
44.02,1831
45.02,1838
46.02,1830
47.02,1847
48.02,1831
49.02,1809
50.03,1832
51.03,1838
52.03,1823
53.03,1784
54.03,1779
55.03,1408
56.03,1521
57.03,1837
58.03,1862
59.03,1808
60.03,1736
61.03,1785
62.03,1809
63.03,1821
64.03,1684
65.03,1851
66.03,1819
67.04,1843
68.04,1835
69.04,1812
70.04,1829
71.04,1860
72.04,1824
73.04,1805
74.04,1678
75.04,1798
76.04,1832
77.04,1819
78.04,1841
79.04,1796
80.04,1825
81.04,1854
82.04,1797
83.04,1829
84.05,1832
85.05,1826
86.05,1848
87.05,1801
88.05,1839
89.05,1808
90.05,1819
91.05,1855
92.05,1815
93.05,1825
94.05,1839
95.05,1800
96.05,1848
97.05,1807
98.05,1823
99.05,1826
100.06,1839
101.06,1835
102.06,1808
103.06,1831
104.06,1823
105.06,1810
106.06,1847
107.06,1812
108.06,1826
109.06,1830
110.06,1793
111.06,1837
112.06,1819
113.06,1828
114.06,1815
115.06,1807
116.06,1832
117.07,1809
118.07,1821
119.07,1833
