"t","clock","temp","PSComputerName","RunspaceId","PSShowComputerName","PSSourceJobInstanceId"
"79.76","122.6","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"81.65","130.4","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"83.58","131.8","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"85.49","148","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"87.38","138.5","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"89.21","122.4","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"91.12","129.8","83","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"93.02","133.4","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"94.95","141.6","83","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"96.81","127.7","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"98.69","130.2","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"100.6","131.2","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"102.58","141.3","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"104.53","132.6","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"106.46","127.6","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"108.36","130","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"110.26","136.6","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"112.15","137.1","83","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
"114.01","119.8","82","localhost","d819effa-44f1-434e-b5b1-e24e06ca73e6","False","993d8cfe-57fa-4d30-9ce7-b89bfc3f2fb3"
