1.00,1792
2.00,1797
3.01,1804
4.01,1816
5.01,1792
6.01,1832
7.01,1831
8.01,1822
9.01,1789
10.01,1828
11.01,1803
12.01,1802
13.01,1808
14.01,1799
15.01,1825
16.01,1792
17.01,1761
18.02,1784
19.02,1577
20.02,1780
21.02,1785
22.02,1826
23.02,1813
24.02,1822
25.02,1824
26.02,1796
27.02,1838
28.02,1769
29.02,1771
30.02,1812
31.02,1777
32.02,1777
33.02,1622
34.03,1533
35.03,1551
36.03,1525
37.03,1569
38.03,1581
39.03,1544
40.03,1576
41.03,1520
42.03,1544
43.03,1590
44.03,1526
45.03,1575
46.03,1520
47.04,1574
48.04,1576
49.04,1473
50.04,1577
51.04,1518
52.04,1520
53.04,1565
54.04,1519
55.04,1587
56.04,1533
57.04,1536
58.04,1532
59.04,1518
60.04,1577
61.04,1532
62.04,1527
63.05,1567
64.05,1521
65.05,1569
66.05,1582
67.05,1538
68.05,1568
69.05,1540
70.05,1576
71.05,1562
72.05,1524
73.05,1589
74.05,1514
75.05,1570
76.05,1581
77.05,1524
78.05,1568
79.05,1518
80.06,1556
81.06,1556
82.06,1505
83.06,1540
84.06,1520
85.06,1561
86.06,1546
87.06,1537
88.06,1585
89.06,1568
90.06,1549
91.07,1593
92.07,1541
93.07,1576
94.07,1542
95.07,1531
96.07,1591
97.07,1538
98.07,1573
99.07,1578
100.07,1532
101.07,1598
102.07,1535
103.07,1570
104.07,1584
105.07,1447
106.08,1577
107.08,1561
108.08,1569
109.08,1599
110.08,1540
111.08,1599
112.08,1589
113.08,1554
114.08,1588
115.08,1542
116.08,1567
117.08,1510
118.09,1546
119.09,1590
