"which","MBps","rsyncCPU","sshCPU","cpuPerGB"
"256KB","1317","2.06","5.17","1.684"
"1MB","1353","2.17","5.16","1.706"
"256KB","1321","2.14","4.98","1.659"
"1MB","1277","2.44","5.89","1.939"
"256KB","1280","2.33","6.06","1.954"
"1MB","1250","2.23","6.05","1.928"
