"which","MBps","rsyncCPU","sshCPU","cpuPerGB"
"seq","1350","1.94","5.17","1.655"
"noseq","1359","1.89","5.05","1.615"
"seq","1364","1.77","4.81","1.532"
"noseq","1345","1.95","4.92","1.601"
"seq","1365","2","5","1.63"
"noseq","1332","2.12","5.33","1.735"
