t,cpu_pct,perf_pct,mhz,tx_MBps,rx_MBps
1.30,3.66,91.01,1,696,0.0,0.0
2.37,3.39,117.68,1,696,0.0,0.0
3.38,9.84,172.69,1,696,973.3,1.0
4.40,11.45,188.81,1,696,1,868.5,1.8
5.41,12.06,188.56,1,696,1,791.5,1.8
6.41,10.44,188.84,1,696,1,859.2,1.8
7.43,10.03,188.87,1,696,1,852.7,1.8
8.45,10.48,188.89,1,696,1,869.1,1.8
9.46,7.47,188.87,1,696,1,841.5,1.8
10.47,6.22,188.77,1,696,1,849.9,1.8
11.48,8.58,188.78,1,696,1,832.5,1.8
12.49,7.13,188.79,1,696,1,858.3,1.8
13.50,9.09,188.81,1,696,1,851.3,1.8
14.51,10.91,188.89,1,696,1,842.2,1.8
15.53,9.57,188.84,1,696,1,867.2,1.8
16.53,10.29,188.86,1,696,1,843.3,1.8
17.55,7.88,188.53,1,696,1,890.2,1.8
18.56,8.74,188.51,1,696,1,864.8,1.8
19.57,9.48,188.39,1,696,1,853.2,1.8
20.58,7.13,188.61,1,696,1,853.8,1.8
21.59,12.69,188.69,1,696,1,850.4,1.8
22.60,10.22,188.43,1,696,1,885.1,1.8
23.61,11.93,188.03,1,696,1,802.7,1.8
24.62,9.95,188.45,1,696,1,877.4,1.8
25.63,9.10,188.66,1,696,1,870.1,1.8
26.64,9.63,188.52,1,696,1,869.0,1.8
27.66,11.12,188.69,1,696,1,832.6,1.8
28.67,5.26,188.66,1,696,1,852.0,1.8
29.68,11.52,188.89,1,696,1,839.9,1.8
30.69,8.68,188.77,1,696,1,840.2,1.8
31.69,9.92,188.72,1,696,1,851.8,1.8
32.70,11.98,188.83,1,696,1,847.7,1.8
33.70,10.37,188.89,1,696,1,866.1,1.8
34.71,11.71,188.51,1,696,1,853.1,1.8
35.72,11.08,188.04,1,696,1,807.4,1.8
36.73,10.44,188.68,1,696,1,873.1,1.8
37.75,9.76,188.41,1,696,1,891.4,1.8
38.76,8.42,188.51,1,696,1,885.3,1.8
39.77,7.79,188.59,1,696,1,876.5,1.8
40.78,8.03,188.74,1,696,1,852.8,1.8
41.79,8.28,188.73,1,696,1,842.8,1.8
42.80,8.16,188.80,1,696,1,842.0,1.8
43.81,7.02,188.80,1,696,1,850.6,1.8
44.82,9.01,188.84,1,696,1,849.3,1.8
45.83,9.76,188.80,1,696,1,846.4,1.8
46.85,8.77,188.35,1,696,1,810.5,1.8
47.85,9.46,188.48,1,696,1,803.4,1.8
48.86,7.76,188.82,1,696,1,825.8,1.8
49.88,8.72,188.78,1,696,1,847.9,1.8
50.89,8.36,188.80,1,696,1,860.5,1.8
51.90,9.27,188.83,1,696,1,899.0,1.9
52.91,10.48,188.85,1,696,1,871.6,1.9
53.92,9.75,188.86,1,696,1,896.0,1.9
54.93,8.76,188.80,1,696,1,845.2,1.8
55.94,10.30,188.81,1,696,1,862.7,1.8
56.95,7.41,188.17,1,696,1,798.3,1.8
57.96,7.98,188.89,1,696,1,831.9,1.8
58.98,8.22,188.87,1,696,1,865.4,1.8
59.98,9.13,188.94,1,696,1,847.6,1.8
60.99,9.00,188.82,1,696,1,841.7,1.8
62.00,7.35,188.77,1,696,1,868.2,1.9
63.02,7.84,188.81,1,696,1,875.4,1.9
64.03,7.23,188.76,1,696,1,842.6,1.8
65.04,8.25,188.02,1,696,1,767.5,1.7
