"n","plan","mbps"
"1","Balanced","966.309533195587"
"2","Ultimate","957.6016716508243"
"3","Ultimate","949.6568275016537"
"4","Balanced","958.8515505373992"
"5","Balanced","979.8101225580756"
"6","Ultimate","932.3353521034109"
"7","Ultimate","946.2304107088147"
"8","Balanced","1003.6815706518803"
